央视频道,#genre#
NewTV-军旅剧场,http://111.56.90.5/000000000000/2000000003000000014/1.m3u8
NewTV-金牌综艺,http://111.56.90.5/000000000000/1000000004000026167/1.m3u8
NewTV-家庭剧场,http://111.56.90.5/000000000000/1000000004000008284/1.m3u8
NewTV-欢乐剧场,http://111.56.90.5/000000000000/1000000005000266012/1.m3u8
NewTV-古装剧场,http://111.56.90.5/000000000000/2000000003000000024/1.m3u8
NewTV-动作电影,http://111.56.90.5/000000000000/1000000004000018653/1.m3u8
NewTV-东北热剧,http://111.56.90.5/000000000000/1000000005000266013/1.m3u8
NewTV-潮妈辣婆,http://111.56.90.5/000000000000/2000000003000000018/1.m3u8
NewTV-爱情喜剧,http://111.56.90.5/000000000000/2000000003000000010/1.m3u8
NewTV-精品纪录,http://111.56.90.5/000000000000/1000000004000013730/1.m3u8
NewTV-精品大剧,http://111.56.90.5/000000000000/1000000004000013968/1.m3u8
SiTV频道,#genre#
SiTV-游戏风云,http://111.56.90.5/000000000000/5000000011000031114/1.m3u8
SiTV-生活时尚,http://111.56.90.5/000000000000/5000000002000019634/1.m3u8
SiTV-七彩戏剧,http://111.56.90.5/000000000000/5000000011000031116/1.m3u8
SiTV-魅力足球,http://111.56.90.5/000000000000/5000000011000031207/1.m3u8
SiTV-劲爆体育,http://111.56.90.5/000000000000/5000000002000029972/1.m3u8
SiTV-金色学堂,http://111.56.90.5/000000000000/5000000010000026105/1.m3u8
SiTV-欢笑剧场,http://111.56.90.5/000000000000/5000000002000009455/1.m3u8
SiTV-法治天地,http://111.56.90.5/000000000000/9001547084732463424/1.m3u8
SiTV-都市剧场,http://111.56.90.5/000000000000/5000000011000031111/1.m3u8
SiTV-动漫秀场,http://111.56.90.5/000000000000/5000000011000031113/1.m3u8
SiTV-乐游频道,http://111.56.90.5/000000000000/5000000011000031112/1.m3u8
SiTV-欢笑剧场-4K,http://111.56.90.5/000000000000/5000000007000010001/1.m3u8
其他频道,#genre#
湖南快乐垂钓,http://111.56.90.5/000000000000/5000000011000031206/1.m3u8
湖南金鹰纪实,http://111.56.90.5/000000000000/5000000011000031203/1.m3u8
北京卡酷少儿,http://111.56.90.5/000000000000/5000000011000265008/1.m3u8
北京纪实科教,http://111.56.90.5/000000000000/1000000005000265020/1.m3u8
北京纪实科教,http://111.56.90.5/000000000000/1000000001000001910/1.m3u8
